Content,EventTemplate,Dataset,Category
*** info [mice.c(1766)]:,*** info [mice.c(<*>)]:,Linux,SeenTemplate
imps2: Auto-detected intellimouse PS/2,imps2: Auto-detected intellimouse PS/<*>,Linux,SeenTemplate
ROOT LOGIN ON tty2,<*> LOGIN ON tty2,Linux,SeenTemplate
creating device node '/udev/vcs2',creating device node '<*>',Linux,SeenTemplate
Couldn't authenticate user,Couldn't authenticate user,Linux,SeenTemplate
"ANONYMOUS FTP LOGIN FROM 84.102.20.2,  (anonymous)","ANONYMOUS FTP LOGIN FROM <*>, (anonymous)",Linux,SeenTemplate
notify question section contains no SOA,notify question section contains no SOA,Linux,SeenTemplate
getpeername (ftpd): Transport endpoint is not connected,getpeername (ftpd): Transport endpoint is not connected,Linux,SeenTemplate
warning: can't get client address: Connection reset by peer,warning: can't get client address: Connection reset by peer,Linux,SeenTemplate
syslogd startup succeeded,syslogd startup succeeded,Linux,SeenTemplate
"klogd 1.4.1, log source = /proc/kmsg started.","klogd <*>, log source = <*> started.",Linux,SeenTemplate
BIOS-provided physical RAM map:,BIOS-provided physical RAM map:,Linux,SeenTemplate
BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),BIOS-e820: <*> - <*> (usable),Linux,SeenTemplate
BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),BIOS-e820: <*> - <*> (reserved),Linux,SeenTemplate
0MB HIGHMEM available.,<*> HIGHMEM available.,Linux,SeenTemplate
126MB LOWMEM available.,<*> LOWMEM available.,Linux,SeenTemplate
On node 0 totalpages: 32430,On node <*> totalpages: <*>,Linux,SeenTemplate
"Normal zone: 28334 pages, LIFO batch:6","Normal zone: <*> pages, LIFO batch:<*>",Linux,SeenTemplate
sdpd startup succeeded,sdpd startup succeeded,Linux,SeenTemplate
"HighMem zone: 0 pages, LIFO batch:1","HighMem zone: <*> pages, LIFO batch:<*>",Linux,SeenTemplate
ACPI disabled because your bios is from 2000 and too old,ACPI disabled because your bios is from <*> and too old,Linux,SeenTemplate
Built 1 zonelists,Built <*> zonelists,Linux,SeenTemplate
Kernel command line: ro root=LABEL=/ rhgb quiet,Kernel command line: ro <*>=LABEL=/ rhgb quiet,Linux,SeenTemplate
mapped 4G/4G trampoline to ffff3000.,mapped 4G/4G trampoline to <*>.,Linux,SeenTemplate
Initializing CPU#0,Initializing CPU#<*>,Linux,SeenTemplate
PID hash table entries: 512 (order 9: 4096 bytes),PID hash table entries: <*> (order <*>: <*> bytes),Linux,SeenTemplate
Detected 731.219 MHz processor.,Detected <*> MHz processor.,Linux,SeenTemplate
Version 1.0.6 Starting,Version <*> Starting,Linux,SeenTemplate
Using tsc for high-res timesource,Using tsc for high-res timesource,Linux,SeenTemplate
Console: colour VGA+ 80x25,Console: colour VGA+ <*>,Linux,SeenTemplate
"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)","Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)",Linux,SeenTemplate
Calibrating delay loop... 1445.88 BogoMIPS,Calibrating delay loop... <*> BogoMIPS,Linux,SeenTemplate
Security Scaffold v1.0.0 initialized,Security Scaffold <*> initialized,Linux,SeenTemplate
SELinux:  Initializing.,SELinux: Initializing.,Linux,SeenTemplate
SELinux:  Starting in permissive mode,SELinux: Starting in permissive mode,Linux,SeenTemplate
"There is already a security framework initialized, register_security failed.","There is already a security framework initialized, register_security failed.",Linux,SeenTemplate
Failure registering capabilities with the kernel,Failure registering capabilities with the kernel,Linux,SeenTemplate
selinux_register_security:  Registering secondary module capability,selinux_register_security: Registering secondary module capability,Linux,SeenTemplate
Capability LSM initialized,Capability LSM initialized,Linux,SeenTemplate
rpc.idmapd startup succeeded,rpc.idmapd startup succeeded,Linux,SeenTemplate
"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)","Dentry cache hash table entries: <*> (order: <*>, <*> bytes)",Linux,SeenTemplate
"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)","Inode-cache hash table entries: <*> (order: <*>, <*> bytes)",Linux,SeenTemplate
"CPU: L1 I cache: 16K, L1 D cache: 16K","CPU: L1 I cache: <*>, L1 D cache: <*>",Linux,SeenTemplate
CPU: L2 cache: 256K,CPU: L2 cache: <*>,Linux,SeenTemplate
Intel machine check architecture supported.,Intel machine check architecture supported.,Linux,SeenTemplate
Intel machine check reporting enabled on CPU#0.,Intel machine check reporting enabled on CPU#<*>.,Linux,SeenTemplate
CPU: Intel Pentium III (Coppermine) stepping 06,CPU: Intel Pentium III (Coppermine) stepping <*>,Linux,SeenTemplate
Enabling fast FPU save and restore... done.,Enabling fast FPU save and restore... done.,Linux,SeenTemplate
Enabling unmasked SIMD FPU exception support... done.,Enabling unmasked SIMD FPU exception support... done.,Linux,SeenTemplate
Initializing random number generator:  succeeded,Initializing random number generator: succeeded,Linux,SeenTemplate
NET: Registered protocol family 16,NET: Registered protocol family <*>,Linux,SeenTemplate
"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1","PCI: PCI BIOS revision <*> entry at <*>, last bus=<*>",Linux,SeenTemplate
PCI: Using configuration type 1,PCI: Using configuration type <*>,Linux,SeenTemplate
ACPI: Interpreter disabled.,ACPI: Interpreter disabled.,Linux,SeenTemplate
Linux Plug and Play Support v0.97 (c) Adam Belay,Linux Plug and Play Support <*> (c) Adam Belay,Linux,SeenTemplate
Starting pcmcia:  succeeded,Starting pcmcia: succeeded,Linux,SeenTemplate
usbcore: registered new driver hub,usbcore: registered new driver hub,Linux,SeenTemplate
ACPI: ACPI tables contain no PCI IRQ routing entries,ACPI: ACPI tables contain no PCI IRQ routing entries,Linux,SeenTemplate
PCI: Invalid ACPI-PCI IRQ routing table,PCI: Invalid ACPI-PCI IRQ routing table,Linux,SeenTemplate
PCI: Probing PCI hardware,PCI: Probing PCI hardware,Linux,SeenTemplate
Transparent bridge - 0000:00:1e.0,Transparent bridge - <*>,Linux,SeenTemplate
apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),apm: BIOS version <*> Flags <*> (Driver version <*>),Linux,SeenTemplate
audit: initializing netlink socket (disabled),audit: initializing netlink socket (disabled),Linux,SeenTemplate
kernel.core_uses_pid = 1,kernel.core_uses_pid = <*>,Linux,SeenTemplate
HCI daemon ver 2.4 started,HCI daemon ver <*> started,Linux,SeenTemplate
hcid startup succeeded,hcid startup succeeded,Linux,SeenTemplate
audit(1122475266.4294965305:0): initialized,audit(<*>:<*>): initialized,Linux,SeenTemplate
Setting network parameters:  succeeded,Setting network parameters: succeeded,Linux,SeenTemplate
sdpd v1.5 started,sdpd <*> started,Linux,SeenTemplate
Bringing up loopback interface:  succeeded,Bringing up loopback interface: succeeded,Linux,SeenTemplate
VFS: Disk quotas dquot_6.5.1,VFS: Disk quotas <*>,Linux,SeenTemplate
SELinux:  Registering netfilter hooks,SELinux: Registering netfilter hooks,Linux,SeenTemplate
Initializing Cryptographic API,Initializing Cryptographic API,Linux,SeenTemplate
pci_hotplug: PCI Hot Plug PCI Core version: 0.5,pci_hotplug: PCI Hot Plug PCI Core version: <*>,Linux,SeenTemplate
isapnp: Scanning for PnP cards...,isapnp: Scanning for PnP cards...,Linux,SeenTemplate
isapnp: No Plug & Play device found,isapnp: No Plug & Play device found,Linux,SeenTemplate
Real Time Clock Driver v1.12,Real Time Clock Driver <*>,Linux,SeenTemplate
IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 12 unplug = 0,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,Mac,SeenTemplate
Thermal pressure state: 0 Memory pressure state: 0,Thermal pressure state: <*> Memory pressure state: <*>,Mac,SeenTemplate
FA||Url||taskID[2019353517] dealloc,FA||Url||taskID[<*>] dealloc,Mac,SeenTemplate
ARPT: 697853.842104: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],ARPT: <*>: <*>::syncPowerState: WWEN[enabled],Mac,SeenTemplate
ARPT: 744472.877165: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],Mac,SeenTemplate
mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),Mac,SeenTemplate
"ARPT: 699408.252331: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",Mac,SeenTemplate
"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",Mac,SeenTemplate
ARPT: 627355.597577: ARPT: Wake Reason: Wake on Scan offload,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,Mac,SeenTemplate
__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,Mac,SeenTemplate
IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,<*>::setAwdlAutoMode Resuming AWDL,Mac,SeenTemplate
AppleCamIn::systemWakeCall - messageType = 0xE0000340,AppleCamIn::systemWakeCall - messageType = <*>,Mac,SeenTemplate
"setting hostname to ""authorMacBook-Pro.local""","setting hostname to ""<*>""",Mac,SeenTemplate
"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 23852 seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",Mac,SeenTemplate
CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,Mac,SeenTemplate
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,Mac,SeenTemplate
"PM response took 1999 ms (54, powerd)","PM response took <*> ms (<*>, powerd)",Mac,SeenTemplate
"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64","ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>:<*>:<*>:<*>, last RSSI <*>",Mac,SeenTemplate
nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x8000000000000000 to 0x4,<*> successfully changed NAT64 ifstate from <*> to <*>,Mac,SeenTemplate
"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)","<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",Mac,SeenTemplate
CCFile::captureLogRun() Exiting CCFile::captureLogRun,CCFile::captureLogRun() Exiting CCFile::captureLogRun,Mac,SeenTemplate
Sandbox: com.apple.Addres(34429) deny(1) network-outbound /private/var/run/mDNSResponder,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,Mac,SeenTemplate
ARPT: 763490.115579: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,Mac,SeenTemplate
AirPort: Link Up on awdl0,AirPort: Link Up on awdl0,Mac,SeenTemplate
AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,Mac,SeenTemplate
mDNS_RegisterInterface: Frequent transitions for interface en0 (FE80:0000:0000:0000:C6B3:01FF:FECD:467F),mDNS_RegisterInterface: Frequent transitions for interface en0 (<*>),Mac,SeenTemplate
AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 6,<*>::<*> - retries = <*>,Mac,SeenTemplate
"ARPT: 673289.745639: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 1578355965, Ack 2401645769, Win size 278","ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",Mac,SeenTemplate
en0::IO80211Interface::postMessage bssid changed,<*>::<*>::postMessage bssid changed,Mac,SeenTemplate
"ARPT: 784053.579480: wl0: setup_keepalive: Local port: 59927, Remote port: 443","ARPT: <*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",Mac,SeenTemplate
-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when=2017-07-03 22:01:36 +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*>,Mac,SeenTemplate
en0: channel changed to 1,en0: channel changed to <*>,Mac,SeenTemplate
ARPT: 739241.687186: AQM agg results 0x8001 len hi/lo: 0x0 0x26 BAbitmap(0-3) 0 0 0 0,ARPT: <*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>-<*>) <*>,Mac,SeenTemplate
"CCFile::captureLog Received Capture notice id: 1499288672.969558, reason = AuthFail:sts:5_rsn:0","CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<NUM>_rsn:<NUM>",Mac,SeenTemplate
IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,Mac,SeenTemplate
Unrecognized attribute value: t:AbchPersonItemType,Unrecognized attribute value: t:AbchPersonItemType,Mac,SeenTemplate
"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data","CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",Mac,SeenTemplate
10:46:47.425 : BTLE scanner Powered On,<*>:<*>:<*> : BTLE scanner Powered On,Mac,SeenTemplate
button report: 0x8002be0,button report: <*>,Mac,SeenTemplate
11:20:51.293 : BTLE discovered device with hash <01faa200 00000000 0000>,<*>:<*>:<*> : BTLE discovered device with hash <*> <*> <*>,Mac,SeenTemplate
"securityd_xpc_dictionary_handler cloudd[326] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}","securityd_xpc_dictionary_handler cloudd[<*>] copy_matching Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",Mac,SeenTemplate
Location icon should now be in state 'Inactive',Location icon should now be in state 'Inactive',Mac,SeenTemplate
ARPT: 724509.898718: wl0: MDNS: IPV4 Addr: 10.105.160.226,ARPT: <*>: wl0: MDNS: IPV4 Addr: <*>,Mac,SeenTemplate
"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0","Setting BTCoex Config: <*>:<*>, <*>:<*>, <*>:<*>, <*>:<*>",Mac,SeenTemplate
Captive: [CNInfoNetworkActive:1748] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),Captive: [CNInfoNetworkActive:<*>] en0: SSID 'CalVisitor' making interface primary (cache indicates network not captive),Mac,SeenTemplate
-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,Mac,SeenTemplate
11:46:19.229 : Finished generating hashes,<*>:<*>:<*> : Finished generating hashes,Mac,SeenTemplate
Captive: CNPluginHandler en0: Evaluating,Captive: CNPluginHandler en0: Evaluating,Mac,SeenTemplate
tcp_connection_destination_perform_socket_connect 45238 connectx to 123.125.50.30:993@0 failed: [50] Network is down,tcp_connection_destination_perform_socket_connect <*> connectx to <*>:<*>@<*> failed: [<*>] Network is down,Mac,SeenTemplate
AirPort: Link Down on en0. Reason 8 (Disassociated because station leaving).,AirPort: Link Down on en0. Reason <*> (Disassociated because station leaving).,Mac,SeenTemplate
"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",USBMSC Identifier (non-unique): <*>,Mac,SeenTemplate
[0706/120312:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,[<*>/<*>:WARNING:dns_config_service_posix.cc(<*>)] Failed to read DnsConfig.,Mac,SeenTemplate
Saw change in network reachability (isReachable=0),Saw change in network reachability (isReachable=<*>),Mac,SeenTemplate
[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (<*>),Mac,SeenTemplate
dnssd_clientstub ConnectToServer: connect()-> No of tries: 2,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,Mac,SeenTemplate
-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,Mac,SeenTemplate
"RTC: Maintenance 2017/7/1 19:52:56, sleep 2017/7/1 19:40:18","RTC: Maintenance <*>/<*>/<*> <*>:<*>:<*>, sleep <*>/<*>/<*> <*>:<*>:<*>",Mac,SeenTemplate
en0: 802.11d country code set to 'X3'.,en0: <*> country code set to '<*>'.,Mac,SeenTemplate
QQ(10018) deny mach-lookup com.apple.networking.captivenetworksupport,<*>(<*>) deny mach-lookup com.apple.networking.captivenetworksupport,Mac,SeenTemplate
[HID] [MT] AppleMultitouchDevice::willTerminate entered,[HID] [MT] AppleMultitouchDevice::willTerminate entered,Mac,SeenTemplate
[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,Mac,SeenTemplate
dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,Mac,SeenTemplate
"pages 1471315, wire 491253, act 449877, inact 3, cleaned 0 spec 5, zf 23, throt 0, compr 345876, xpmapped 40000","pages <*>, wire <*>, act <*>, inact <*>, cleaned <*> spec <*>, zf <*>, throt <*>, compr <*>, xpmapped <*>",Mac,SeenTemplate
"VDCAssistant:  Found a camera (0x1430000005ac8290) , but was not able to start it up (0x0 -- (os/kern) successful)","VDCAssistant: Found a camera (<*>) , but was not able to start it up (<*> -- (os/kern) successful)",Mac,SeenTemplate
handle_will_sleep_auth_and_shield_windows: Reordering authw 0x7fa823a04400(2004) (lock state: 3),handle_will_sleep_auth_and_shield_windows: Reordering authw <*>(<*>) (lock state: <*>),Mac,SeenTemplate
"2017-07-03 10:40:41.730 GoogleSoftwareUpdateAgent[33263/0x700000323000] [lvl=2] -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <KSUpdateEngine:0x10062de70 ticketStore=<KSPersistentTicketStore:0x1005206e0 store=<KSKeyedPersistentStore:0x1005282c0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x100510480 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO > >> processor=<KSActionProcessor:0x10062e060 delegate=<KSUpdateEngine:0x10062de70> isProcessing=NO actionsCompleted=0 progress=0.00 errors=0 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) > delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x10062d2d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=0 >",<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=<*> lockFile=<KSLockFile:<*> path=<*> locked=NO > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*> isProcessing=NO actionsCompleted=<*> progress=<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( ) > delegate=(<*>) serverInfoStore=<KSServerPrivateInfoStore:<*> path=<*> errors=<*> >,Mac,SeenTemplate
-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: 0x7f9950712080>.,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>.,Mac,SeenTemplate
Error returned from iconservicesagent: (null),Error returned from iconservicesagent: (<*>),Mac,SeenTemplate
tcp_connection_tls_session_error_callback_imp 2375 __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>,Mac,SeenTemplate
"SecOSStatusWith error:[-50] Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}","SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",Mac,SeenTemplate
send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,Mac,SeenTemplate
WARNING: Type1 font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,WARNING: Type1 font data isn't in the correct format required by the Adobe Type <*> Font Format specification.,Mac,SeenTemplate
"device_generate_desktop_screenshot: authw 0x7fa823c89600(2000), shield 0x7fa8258cac00(2001)","device_generate_desktop_screenshot: authw <*>(<*>), shield <*>(<*>)",Mac,SeenTemplate
Previous sleep cause: 5,Previous sleep cause: <*>,Mac,SeenTemplate
AppleThunderboltNHIType2::prePCIWake - power up complete - took 1 us,<*>::prePCIWake - power up complete - took <*> us,Mac,SeenTemplate
network changed: v4(en0-:10.105.163.202) v6(en0:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB,network changed: <*>(<*>:<*>) <*>(<*>) DNS! Proxy SMB,Mac,SeenTemplate
hibernate_page_list_setall found pageCount 488653,hibernate_page_list_setall found pageCount <*>,Mac,SeenTemplate
[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,Mac,SeenTemplate
en0: BSSID changed to 5c:50:15:4c:18:13,en0: BSSID changed to <*>,Mac,SeenTemplate
[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- 0x7000,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,Mac,SeenTemplate
2017/07/05 10:57:01.130 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = 1742124257.,<*>/<*>/<*> <*>:<*>:<*> | I | VoipWrapper | DAVEngineImpl.cpp:<*>:Close | close video chat. llFriendUIN = <*>.,Mac,SeenTemplate
Bluetooth -- LE is supported - Disable LE meta event,Bluetooth -- LE is supported - Disable LE meta event,Mac,SeenTemplate
12:15:23.005 : Discoverable mode changed to Off,<*>:<*>:<*> : Discoverable mode changed to Off,Mac,SeenTemplate
tcp_connection_handle_connect_conditions_bad 21503 failed: 3 - No network route,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,Mac,SeenTemplate
TBT W (2): 0x0040 [x],TBT W (<*>): <*> [x],Mac,SeenTemplate
network changed: DNS* Proxy,network changed: DNS* Proxy,Mac,SeenTemplate
ASL Sender Statistics,ASL Sender Statistics,Mac,SeenTemplate
2017-07-02 15:46:40.516 GoogleSoftwareUpdateAgent[32432/0x7000002a0000] [lvl=2] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id: 32433,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '<*>' with process id: <*>,Mac,SeenTemplate
"2017-07-06 00:30:37.071 GoogleSoftwareUpdateAgent[36436/0x7000002a0000] [lvl=2] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'.","<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'.",Mac,SeenTemplate
"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SocialHelper.xpc/Contents/MacOS/com.apple.Safari.SocialHelper error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc","Path not allowed in target domain: type = pid, path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>",Mac,SeenTemplate
[11:39:18.356] <<<< IQ-CA >>>> piqca_setUsePreQueue: (0x7fce15069400) rejecting report of layer being serviced - IQ has not yet begun to update,[<*>:<*>:<*>] <<<< IQ-CA >>>> piqca_setUsePreQueue: (<*>) rejecting report of layer being serviced - IQ has not yet begun to update,Mac,SeenTemplate
[11:50:13.362] itemasync_SetProperty signalled err=-12785 (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/Player/FigPlayer_Async.c line 2306,[<*>:<*>:<*>] itemasync_SetProperty signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,Mac,SeenTemplate
KeychainGetICDPStatus: keychain: -25300,KeychainGetICDPStatus: keychain: <*>,Mac,SeenTemplate
host connection <NSXPCConnection: 0x7fddbbb015c0> connection from pid 30298 invalidated,host connection <NSXPCConnection: <*> connection from pid <*> invalidated,Mac,SeenTemplate
Error in CoreDragRemoveReceiveHandler: -1856,Error in CoreDragRemoveReceiveHandler: <*>,Mac,SeenTemplate
ARPT: 698152.618948: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,Mac,SeenTemplate
in6_unlink_ifa: IPv6 address 0x77c911454f1523ab has no prefix,<*>: IPv6 address <*> has no prefix,Mac,SeenTemplate
